keyword,search_volume,keyword_difficulty,cpc,cluster
flag football league adult,1000,7,2.86,adult_flag_football
flag football adult league,1000,0,2.86,adult_flag_football
adult league flag football,1000,0,2.86,adult_flag_football
adult flag football league,1000,0,2.86,adult_flag_football
adult flag football league near me,1000,0,2.84,adult_flag_football
flag football adult league near me,210,0,1.29,adult_flag_football
