keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
consistency workout,480,6,0,informational,0.5414,fitness_consistency
workout consistency,70,14,0,informational,0.0722,fitness_consistency
consistency workout quotes,50,0,0,informational,0.06,fitness_consistency
