keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
fake text generator iphone,590,27,0,unknown,0.431,fake_screenshot
fake iphone text generator,480,0,6.23,unknown,0.779,fake_screenshot
fake iphone text message generator,480,15,6.23,unknown,0.662,fake_screenshot
iphone fake text generator,480,13,6.23,unknown,0.678,fake_screenshot
fake text message generator iphone,480,13,6.23,unknown,0.678,fake_screenshot
